Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,17394862.0,14845177.0,32240039.0,93390.3,10402669.0,Summary,2014-09-24
Regional Rural Banks,357621.0,66286.0,423907.0,1431.38,6119.0,Summary,2014-09-24
Private Sector Banks,359258.0,471164.0,830422.0,1090.87,55489.0,Summary,2014-09-24
Grand Total,18111741.0,15382627.0,33494368.0,95912.55,10464277.0,Summary,2014-09-24
Andhra Bank,584929.0,433918.0,1018847.0,254.31,762409.0,(A) Public Sector Banks,2014-09-24
Bank of Baroda,958981.0,1617242.0,2576223.0,1366.41,1973850.0,(A) Public Sector Banks,2014-09-24
Bank of Maharashtra,560682.0,304735.0,865417.0,582.01,37684.0,(A) Public Sector Banks,2014-09-24
Canara Bank,1599843.0,885426.0,2485269.0,4467.66,93940.0,(A) Public Sector Banks,2014-09-24
Central Bank of India,1831008.0,649487.0,2480495.0,1973.4,395030.0,(A) Public Sector Banks,2014-09-24
Corporation Bank,507510.0,462572.0,970082.0,725.97,431146.0,(A) Public Sector Banks,2014-09-24
Dena Bank,538846.0,367735.0,906581.0,685.16,218921.0,(A) Public Sector Banks,2014-09-24
IDBI Bank Ltd.,226058.0,226935.0,452993.0,233.02,126239.0,(A) Public Sector Banks,2014-09-24
Indian Bank,863709.0,553175.0,1416884.0,685.83,868542.0,(A) Public Sector Banks,2014-09-24
Indian Overseas Bank,385808.0,854401.0,1240209.0,462.32,390804.0,(A) Public Sector Banks,2014-09-24
Oriental Bank of Commerce,611187.0,468934.0,1080121.0,1619.58,116799.0,(A) Public Sector Banks,2014-09-24
Punjab & Sind Bank,381827.0,240786.0,622613.0,1062.31,338403.0,(A) Public Sector Banks,2014-09-24
Punjab National Bank,2225853.0,690332.0,2916185.0,71885.09,465269.0,(A) Public Sector Banks,2014-09-24
State Bank of Hyderabad,327907.0,749894.0,1077801.0,281.55,314155.0,(A) Public Sector Banks,2014-09-24
State Bank of India,2980000.0,4139554.0,7119554.0,2739.08,2329992.0,(A) Public Sector Banks,2014-09-24
Syndicate Bank,1065208.0,643891.0,1709099.0,531.18,618289.0,(A) Public Sector Banks,2014-09-24
UCO Bank,718187.0,768684.0,1486871.0,1663.74,503621.0,(A) Public Sector Banks,2014-09-24
United Bank of India,751228.0,538973.0,1290201.0,1921.21,143275.0,(A) Public Sector Banks,2014-09-24
Vijaya Bank,276091.0,248503.0,524594.0,250.47,274301.0,(A) Public Sector Banks,2014-09-24
Public Sector Banks Sub Total,17394862.0,14845177.0,32240039.0,93390.3,10402669.0,(A) Public Sector Banks,2014-09-24
Dena Bank,69527.0,4251.0,73778.0,250.0,887.0,(B) Regional Rural Bank,2014-09-24
United Bank of India,288094.0,62035.0,350129.0,1181.39,5232.0,(B) Regional Rural Bank,2014-09-24
Regional Rural Banks Sub Total,357621.0,66286.0,423907.0,1431.38,6119.0,(B) Regional Rural Bank,2014-09-24
Axis Bank Ltd,56014.0,68474.0,124488.0,62.79,0.0,(C) Major Private Banks,2014-09-24
City Union Bank Ltd,5823.0,25189.0,31012.0,57.41,0.0,(C) Major Private Banks,2014-09-24
HDFC Bank Ltd,58630.0,258251.0,316881.0,804.46,20746.0,(C) Major Private Banks,2014-09-24
ICICI Bank Ltd,194386.0,60837.0,255223.0,148.21,4442.0,(C) Major Private Banks,2014-09-24
Karur Vysya Bank,3392.0,36906.0,40298.0,12.49,16922.0,(C) Major Private Banks,2014-09-24
Kotak Mahindra Bank Ltd,14116.0,9338.0,23454.0,3.14,0.0,(C) Major Private Banks,2014-09-24
RBL Bank Ltd,26897.0,12169.0,39066.0,2.36,13379.0,(C) Major Private Banks,2014-09-24
Major Private Banks Sub Total,359258.0,471164.0,830422.0,1090.87,55489.0,(C) Major Private Banks,2014-09-24
Public Sector Banks,4029772.0,2754484.0,6784256.0,10466.93,1703977.0,Summary,2014-10-01
Regional Rural Banks,198184.0,91256.0,289440.0,0.0,48719.0,Summary,2014-10-01
Grand Total,4227956.0,2845740.0,7073696.0,10466.93,1752696.0,Summary,2014-10-01
Canara Bank,1774285.0,946200.0,2720485.0,3104.81,113798.0,(A) Public Sector Banks,2014-10-01
Syndicate Bank,1163372.0,691817.0,1855189.0,2.42,618289.0,(A) Public Sector Banks,2014-10-01
UCO Bank,791743.0,846370.0,1638113.0,6628.86,619740.0,(A) Public Sector Banks,2014-10-01
Vijaya Bank,300372.0,270097.0,570469.0,730.83,352150.0,(A) Public Sector Banks,2014-10-01
Public Sector Banks Sub Total,4029772.0,2754484.0,6784256.0,10466.93,1703977.0,(A) Public Sector Banks,2014-10-01
Canara Bank,198184.0,91256.0,289440.0,0.0,48719.0,(B) Regional Rural Bank,2014-10-01
Regional Rural Banks Sub Total,198184.0,91256.0,289440.0,0.0,48719.0,(B) Regional Rural Bank,2014-10-01
Major Private Banks Sub Total,,,,,,(C) Major Private Banks,2014-10-01
Public Sector Banks,14856505.0,13855257.0,28711762.0,11133.84,14468061.0,Summary,2014-10-08
Regional Rural Banks,313222.0,78792.0,392014.0,1573.0,6694.0,Summary,2014-10-08
Private Sector Banks,469494.0,292553.0,762047.0,825.93,80854.0,Summary,2014-10-08
Grand Total,15639221.0,14226602.0,29865823.0,13532.77,14555609.0,Summary,2014-10-08
Andhra Bank,635099.0,465817.0,1100916.0,292.7,864234.0,(A) Public Sector Banks,2014-10-08
